#             w_n     Re(S1(iw_n))     Im(S1(iw_n))     Re(S2(iw_n))     Im(S2(iw_n))     Re(S3(iw_n))     Im(S3(iw_n))     Re(S4(iw_n))     Im(S4(iw_n))
     0.0628318531     0.2500000000    -0.0086829091     0.5000000000    -0.0377035672     1.0000000000    -0.2624324618     1.5000000000   -21.4732059163
     0.1884955592     0.2500000000    -0.0174535911     0.5000000000    -0.0752754091     1.0000000000    -0.4838246670     1.5000000000    -7.5275868427
     0.3141592654     0.2500000000    -0.0227054557     0.5000000000    -0.0973441440     1.0000000000    -0.5858604737     1.5000000000    -4.7533529722
     0.4398229715     0.2500000000    -0.0259017384     0.5000000000    -0.1108134731     1.0000000000    -0.6326586273     1.5000000000    -3.5322786411
     0.5654866776     0.2500000000    -0.0278127657     0.5000000000    -0.1188138431     1.0000000000    -0.6503771770     1.5000000000    -2.8371284180
     0.6911503838     0.2500000000    -0.0288436145     0.5000000000    -0.1229687847     1.0000000000    -0.6498718394     1.5000000000    -2.3877593088
     0.8168140899     0.2500000000    -0.0292523492     0.5000000000    -0.1243724748     1.0000000000    -0.6376443206     1.5000000000    -2.0732927498
     0.9424777961     0.2500000000    -0.0292222404     0.5000000000    -0.1238426592     1.0000000000    -0.6182684165     1.5000000000    -1.8404286615
     1.0681415022     0.2500000000    -0.0288877817     0.5000000000    -0.1219944019     1.0000000000    -0.5949546931     1.5000000000    -1.6603776989
     1.1938052084     0.2500000000    -0.0283477167     0.5000000000    -0.1192813750     1.0000000000    -0.5698639021     1.5000000000    -1.5163230446
     1.3194689145     0.2500000000    -0.0276739323     0.5000000000    -0.1160311536     1.0000000000    -0.5443856083     1.5000000000    -1.3978606613
     1.4451326207     0.2500000000    -0.0269182510     0.5000000000    -0.1124759107     1.0000000000    -0.5193724605     1.5000000000    -1.2982560091
     1.5707963268     0.2500000000    -0.0261176601     0.5000000000    -0.1087774723     1.0000000000    -0.4953182479     1.5000000000    -1.2129821237
     1.6964600329     0.2500000000    -0.0252982737     0.5000000000    -0.1050467242     1.0000000000    -0.4724841486     1.5000000000    -1.1388942772
     1.8221237391     0.2500000000    -0.0244782867     0.5000000000    -0.1013581271     1.0000000000    -0.4509844184     1.5000000000    -1.0737427059
     1.9477874452     0.2500000000    -0.0236701552     0.5000000000    -0.0977603380     1.0000000000    -0.4308429582     1.5000000000    -1.0158743769
     2.0734511514     0.2500000000    -0.0228821938     0.5000000000    -0.0942838736     1.0000000000    -0.4120299650     1.5000000000    -0.9640448555
     2.1991148575     0.2500000000    -0.0221197412     0.5000000000    -0.0909465936     1.0000000000    -0.3944853406     1.5000000000    -0.9172964535
     2.3247785637     0.2500000000    -0.0213860090     0.5000000000    -0.0877576029     1.0000000000    -0.3781334445     1.5000000000    -0.8748773989
     2.4504422698     0.2500000000    -0.0206826985     0.5000000000    -0.0847200178     1.0000000000    -0.3628922457     1.5000000000    -0.8361870140
     2.5761059759     0.2500000000    -0.0200104491     0.5000000000    -0.0818329225     1.0000000000    -0.3486788788     1.5000000000    -0.8007377447
     2.7017696821     0.2500000000    -0.0193691625     0.5000000000    -0.0790927487     1.0000000000    -0.3354129055     1.5000000000    -0.7681283302
     2.8274333882     0.2500000000    -0.0187582384     0.5000000000    -0.0764942445     1.0000000000    -0.3230181210     1.5000000000    -0.7380244778
     2.9530970944     0.2500000000    -0.0181767443     0.5000000000    -0.0740311528     1.0000000000    -0.3114234499     1.5000000000    -0.7101446893
     3.0787608005     0.2500000000    -0.0176235377     0.5000000000    -0.0716966824     1.0000000000    -0.3005632765     1.5000000000    -0.6842496825
     3.2044245067     0.2500000000    -0.0170973534     0.5000000000    -0.0694838320     1.0000000000    -0.2903774352     1.5000000000    -0.6601343697
     3.3300882128     0.2500000000    -0.0165968662     0.5000000000    -0.0673856095     1.0000000000    -0.2808110029     1.5000000000    -0.6376216802
     3.4557519189     0.2500000000    -0.0161207339     0.5000000000    -0.0653951783     1.0000000000    -0.2718139838     1.5000000000    -0.6165577366
     3.5814156251     0.2500000000    -0.0156676283     0.5000000000    -0.0635059504     1.0000000000    -0.2633409435     1.5000000000    -0.5968080399
     3.7070793312     0.2500000000    -0.0152362551     0.5000000000    -0.0617116430     1.0000000000    -0.2553506274     1.5000000000    -0.5782544154
     3.8327430374     0.2500000000    -0.0148253675     0.5000000000    -0.0600063094     1.0000000000    -0.2478055855     1.5000000000    -0.5607925428
     3.9584067435     0.2500000000    -0.0144337743     0.5000000000    -0.0583843521     1.0000000000    -0.2406718137     1.5000000000    -0.5443299376
     4.0840704497     0.2500000000    -0.0140603448     0.5000000000    -0.0568405235     1.0000000000    -0.2339184205     1.5000000000    -0.5287842881
     4.2097341558     0.2500000000    -0.0137040102     0.5000000000    -0.0553699190     1.0000000000    -0.2275173194     1.5000000000    -0.5140820729
     4.3353978620     0.2500000000    -0.0133637643     0.5000000000    -0.0539679640     1.0000000000    -0.2214429499     1.5000000000    -0.5001574046
     4.4610615681     0.2500000000    -0.0130386619     0.5000000000    -0.0526303987     1.0000000000    -0.2156720247     1.5000000000    -0.4869510556
     4.5867252742     0.2500000000    -0.0127278170     0.5000000000    -0.0513532602     1.0000000000    -0.2101833016     1.5000000000    -0.4744096313
     4.7123889804     0.2500000000    -0.0124304004     0.5000000000    -0.0501328643     1.0000000000    -0.2049573801     1.5000000000    -0.4624848672
     4.8380526865     0.2500000000    -0.0121456367     0.5000000000    -0.0489657871     1.0000000000    -0.1999765181     1.5000000000    -0.4511330253
     4.9637163927     0.2500000000    -0.0118728014     0.5000000000    -0.0478488473     1.0000000000    -0.1952244690     1.5000000000    -0.4403143755
     5.0893800988     0.2500000000    -0.0116112176     0.5000000000    -0.0467790880     1.0000000000    -0.1906863347     1.5000000000    -0.4299927469
     5.2150438050     0.2500000000    -0.0113602533     0.5000000000    -0.0457537610     1.0000000000    -0.1863484363     1.5000000000    -0.4201351393
     5.3407075111     0.2500000000    -0.0111193184     0.5000000000    -0.0447703108     1.0000000000    -0.1821981965     1.5000000000    -0.4107113836
     5.4663712172     0.2500000000    -0.0108878615     0.5000000000    -0.0438263599     1.0000000000    -0.1782240357     1.5000000000    -0.4016938459
     5.5920349234     0.2500000000    -0.0106653678     0.5000000000    -0.0429196955     1.0000000000    -0.1744152789     1.5000000000    -0.3930571682
     5.7176986295     0.2500000000    -0.0104513560     0.5000000000    -0.0420482566     1.0000000000    -0.1707620720     1.5000000000    -0.3847780394
     5.8433623357     0.2500000000    -0.0102453763     0.5000000000    -0.0412101226     1.0000000000    -0.1672553071     1.5000000000    -0.3768349945
     5.9690260418     0.2500000000    -0.0100470079     0.5000000000    -0.0404035022     1.0000000000    -0.1638865553     1.5000000000    -0.3692082363
     6.0946897480     0.2500000000    -0.0098558571     0.5000000000    -0.0396267238     1.0000000000    -0.1606480062     1.5000000000    -0.3618794773
     6.2203534541     0.2500000000    -0.0096715552     0.5000000000    -0.0388782262     1.0000000000    -0.1575324144     1.5000000000    -0.3548317997
     6.3460171603     0.2500000000    -0.0094937567     0.5000000000    -0.0381565500     1.0000000000    -0.1545330499     1.5000000000    -0.3480495303
     6.4716808664     0.2500000000    -0.0093221381     0.5000000000    -0.0374603306     1.0000000000    -0.1516436548     1.5000000000    -0.3415181289
     6.5973445725     0.2500000000    -0.0091563954     0.5000000000    -0.0367882901     1.0000000000    -0.1488584032     1.5000000000    -0.3352240881
     6.7230082787     0.2500000000    -0.0089962437     0.5000000000    -0.0361392318     1.0000000000    -0.1461718655     1.5000000000    -0.3291548445
     6.8486719848     0.2500000000    -0.0088414151     0.5000000000    -0.0355120335     1.0000000000    -0.1435789763     1.5000000000    -0.3232986976
     6.9743356910     0.2500000000    -0.0086916580     0.5000000000    -0.0349056423     1.0000000000    -0.1410750042     1.5000000000    -0.3176447379
     7.0999993971     0.2500000000    -0.0085467358     0.5000000000    -0.0343190698     1.0000000000    -0.1386555261     1.5000000000    -0.3121827814
     7.2256631033     0.2500000000    -0.0084064256     0.5000000000    -0.0337513868     1.0000000000    -0.1363164026     1.5000000000    -0.3069033109
     7.3513268094     0.2500000000    -0.0082705176     0.5000000000    -0.0332017199     1.0000000000    -0.1340537558     1.5000000000    -0.3017974224
     7.4769905155     0.2500000000    -0.0081388141     0.5000000000    -0.0326692468     1.0000000000    -0.1318639498     1.5000000000    -0.2968567771
     7.6026542217     0.2500000000    -0.0080111287     0.5000000000    -0.0321531933     1.0000000000    -0.1297435718     1.5000000000    -0.2920735575
     7.7283179278     0.2500000000    -0.0078872854     0.5000000000    -0.0316528297     1.0000000000    -0.1276894163     1.5000000000    -0.2874404276
     7.8539816340     0.2500000000    -0.0077671180     0.5000000000    -0.0311674676     1.0000000000    -0.1256984691     1.5000000000    -0.2829504965
     7.9796453401     0.2500000000    -0.0076504696     0.5000000000    -0.0306964574     1.0000000000    -0.1237678939     1.5000000000    -0.2785972855
